id,name,quantity,landscape,set,setType,frontImageUrl,backImageUrl,gameImageUrl
For Northwood,For Northwood,,,,,,,https://cf.geekdo-images.com/3MdUGB8YD_jGTDyfbAnX9Q__itemrep/img/vSHmtf7RgFVQjc6NPl42Oi3XNpg=/fit-in/246x300/filters:strip_icc()/pic6763912.png
A12DFAFA-84B5-4965-A8A7-35E2A3000000,Info,1,Yes,Info,Info,https://ik.imagekit.io/klenz/Cardtable/For%20Northwood/For%20Northwood%20-%20Info%20Front.png,https://ik.imagekit.io/klenz/Cardtable/For%20Northwood/For%20Northwood%20-%20Info%20Back.png,
A12DFAFA-84B5-4965-A8A7-35E2A3000001,Jack of Claws,1,No,For Northwood,Ruler,https://ik.imagekit.io/klenz/Cardtable/For%20Northwood/For%20Northwood%20-%2001%20of%2069%20-%20Jack%20of%20Claws.png,https://ik.imagekit.io/klenz/Cardtable/For%20Northwood/For%20Northwood%20-%2000%20of%2069%20-%20Character%20Dialog%20Backside.png,
A12DFAFA-84B5-4965-A8A7-35E2A3000002,Queen of Claws,1,No,For Northwood,Ruler,https://ik.imagekit.io/klenz/Cardtable/For%20Northwood/For%20Northwood%20-%2002%20of%2069%20-%20Queen%20of%20Claws.png,https://ik.imagekit.io/klenz/Cardtable/For%20Northwood/For%20Northwood%20-%2000%20of%2069%20-%20Character%20Dialog%20Backside.png,
A12DFAFA-84B5-4965-A8A7-35E2A3000003,King of Claws,1,No,For Northwood,Ruler,https://ik.imagekit.io/klenz/Cardtable/For%20Northwood/For%20Northwood%20-%2003%20of%2069%20-%20King%20of%20Claws.png,https://ik.imagekit.io/klenz/Cardtable/For%20Northwood/For%20Northwood%20-%2000%20of%2069%20-%20Character%20Dialog%20Backside.png,
A12DFAFA-84B5-4965-A8A7-35E2A3000004,Prince of Claws,1,No,For Northwood,Ruler,https://ik.imagekit.io/klenz/Cardtable/For%20Northwood/For%20Northwood%20-%2004%20of%2069%20-%20Prince%20of%20Claws.png,https://ik.imagekit.io/klenz/Cardtable/For%20Northwood/For%20Northwood%20-%2000%20of%2069%20-%20Character%20Dialog%20Backside.png,
A12DFAFA-84B5-4965-A8A7-35E2A3000005,Lady of Claws,1,No,For Northwood,Ruler,https://ik.imagekit.io/klenz/Cardtable/For%20Northwood/For%20Northwood%20-%2005%20of%2069%20-%20Lady%20of%20Claws.png,https://ik.imagekit.io/klenz/Cardtable/For%20Northwood/For%20Northwood%20-%2000%20of%2069%20-%20Character%20Dialog%20Backside.png,
A12DFAFA-84B5-4965-A8A7-35E2A3000006,Baron of Flowers,1,No,For Northwood,Ruler,https://ik.imagekit.io/klenz/Cardtable/For%20Northwood/For%20Northwood%20-%2006%20of%2069%20-%20Baron%20of%20Claws.png,https://ik.imagekit.io/klenz/Cardtable/For%20Northwood/For%20Northwood%20-%2000%20of%2069%20-%20Character%20Dialog%20Backside.png,
A12DFAFA-84B5-4965-A8A7-35E2A3000007,Jack of Flowers,1,No,For Northwood,Ruler,https://ik.imagekit.io/klenz/Cardtable/For%20Northwood/For%20Northwood%20-%2007%20of%2069%20-%20Jack%20of%20Flowers.png,https://ik.imagekit.io/klenz/Cardtable/For%20Northwood/For%20Northwood%20-%2000%20of%2069%20-%20Character%20Dialog%20Backside.png,
A12DFAFA-84B5-4965-A8A7-35E2A3000008,Queen of Flowers,1,No,For Northwood,Ruler,https://ik.imagekit.io/klenz/Cardtable/For%20Northwood/For%20Northwood%20-%2008%20of%2069%20-%20Queen%20of%20Flowers.png,https://ik.imagekit.io/klenz/Cardtable/For%20Northwood/For%20Northwood%20-%2000%20of%2069%20-%20Character%20Dialog%20Backside.png,
A12DFAFA-84B5-4965-A8A7-35E2A3000009,King of Flowers,1,No,For Northwood,Ruler,https://ik.imagekit.io/klenz/Cardtable/For%20Northwood/For%20Northwood%20-%2009%20of%2069%20-%20King%20of%20Flowers.png,https://ik.imagekit.io/klenz/Cardtable/For%20Northwood/For%20Northwood%20-%2000%20of%2069%20-%20Character%20Dialog%20Backside.png,
