databaseID	name	type	traits	faction	abilityText	shardCost	barrier	scrapCost	quantity	landscape	set	setType	imageUrl	cardBack	gameImageUrl	presence	actionLimit
Hubworld: Aidalon	Hubworld: Aidalon														https://cf.geekdo-images.com/GSF1XABi4QyCvTXPZDgzjw__imagepage/img/x5b3FWRWXPLifWXoHcDaVkp73JI=/fit-in/900x600/filters:no_upscale():strip_icc()/pic8454145.jpg		
A12DFAFA-84B5-4965-A8A7-35E2A3000001	Chairman Bo Pax	Seeker	Visionary		(Action) If you have more cards in your front row than your rival, exhaust this card: They gain 1 Heat.				2	no	Default Set	Set Type Default	https://decksmith.app/media/pages/hubworldaidalon/cards/prime-collective/chairman-bo-pax/6186658dfc-1768746710/card.webp	https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121			
A12DFAFA-84B5-4965-A8A7-35E2A3000002	Captain Tal	Seeker	Enforcer		(Reaction) As you approach a Network, exhaust this card: Archive the top card of that Network.				2	no	Default Set	Set Type Default	https://decksmith.app/media/pages/hubworldaidalon/cards/prime-collective/captain-tal/164183057a-1769914796/card.webp	https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121			
A12DFAFA-84B5-4965-A8A7-35E2A3000003	Curator Eido	Seeker	Paragon	Omniworks	(Reaction) As you approach a Council, exhaust this card and choose a player: They draw 1 card.				2	no	Default Set	Set Type Default	https://decksmith.app/media/pages/hubworldaidalon/cards/prime-collective/curator-eido/69f0ce3ddf-1755296966/card.webp	https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121			
A12DFAFA-84B5-4965-A8A7-35E2A3000004	Goldie Xin	Seeker	Renegade	Omniworks	(Action) If you have fewer Heat in your pool than your rival, exhaust this card: Gain 2 Shard and draw a card.				2	no	Default Set	Set Type Default	https://decksmith.app/media/pages/hubworldaidalon/cards/prime-collective/goldie-xin/9599dd1e39-1770745709/card.webp	https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121			
A12DFAFA-84B5-4965-A8A7-35E2A3000005	Abnus Orzo	Seeker	Enforcer	Collective	(Reaction) After you complete a breach on a player’s Archives, exhaust this card and archive the top card of your Network: Archive a card at random from that player’s Council.				2	no	Default Set	Set Type Default	https://decksmith.app/media/pages/hubworldaidalon/cards/prime-collective/abnus-orzo/354aa3983d-1768746710/card.webp	https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121			
A12DFAFA-84B5-4965-A8A7-35E2A3000006	Vesheve	Seeker	Visionary	Collective	(Instant) Exhaust this card and archive an unforged card from your grid: Shuffle 1 card from your Archives into your Commons.				2	no	Default Set	Set Type Default	https://decksmith.app/media/pages/hubworldaidalon/cards/prime-collective/vesheve/aed5c13bf4-1755296966/card.webp	https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121			
A12DFAFA-84B5-4965-A8A7-35E2A3000007	Jayko & Ace	Seeker	Renegade	Remnants	(Reaction) As you approach a district, exhaust this card and gain 1 Heat: Gain 2 Shard and draw a card.				2	no	Default Set	Set Type Default	https://decksmith.app/media/pages/hubworldaidalon/cards/prime-collective/jayko-&-ace/a05b6fdf53-1768746710/card.webp	https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121			
A12DFAFA-84B5-4965-A8A7-35E2A3000008	Marwa	Seeker	Paragon	Remnants	(Reaction) After you pass a player’s forged card, if you have fewer Shard in your pool than they have, exhaust this card: Steal 1 Shard from their pool.				2	no	Default Set	Set Type Default	https://decksmith.app/media/pages/hubworldaidalon/cards/prime-collective/marwa/a84a24b729-1775242016/card.webp	https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121			
A12DFAFA-84B5-4965-A8A7-35E2A3000009	Frost	Agent	Enforcer		(Reaction) As you engage a card in a grid, exhaust this card: That card gets -2 Scrap Cost until the engagement ends. (“Engage” includes both confront and discover.)	2	3	2	2	no	Default Set	Set Type Default	https://decksmith.app/media/pages/hubworldaidalon/cards/prime-collective/frost/d28f06506f-1770745709/card.webp	https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121			
A12DFAFA-84B5-4965-A8A7-35E2A3000010	Gargala Larga	Agent	Enforcer		(Instant) Exhaust this card: Unexhaust your seeker.	3	4	1	2	no	Default Set	Set Type Default	https://decksmith.app/media/pages/hubworldaidalon/cards/prime-collective/gargala-larga/5ec13fe367-1768746710/card.webp	https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121			
A12DFAFA-84B5-4965-A8A7-35E2A3000011	Prime Treasurer Geel	Agent	Paragon		"While this card is forged: Each other agent and obstacle in your grid gets +1 Barrier.
(Discover) If this card is in your grid: Gain 4 Shard."	3	4	2	2	no	Default Set	Set Type Default	https://decksmith.app/media/pages/hubworldaidalon/cards/prime-collective/prime-treasurer-geel/301da812fa-1746720029/card.webp	https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121			
A12DFAFA-84B5-4965-A8A7-35E2A3000012	Renovator Warlan	Agent	Enforcer		(Reaction) After a card is archived or exiled from a grid, exhaust this card and choose a player: That player exhausts a card in the front row of their grid.	3	4	2	2	no	Default Set	Set Type Default	https://decksmith.app/media/pages/hubworldaidalon/cards/prime-collective/renovator-warlan/3b6aedd1b1-1746720029/card.webp	https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121			
