round,player_a,player_b,g1_agents_a,g1_agents_b,g2_agents_a,g2_agents_b,total_agents_a,total_agents_b,winner,is_draw
1,0,1,3,2,3,2,6,4,0,0
1,2,3,3,0,3,0,6,0,2,0
1,4,5,2,3,1,3,3,6,5,0
1,6,7,2,3,1,3,3,6,7,0
1,8,9,1,3,3,1,4,4,,1
1,10,11,3,0,3,0,6,0,10,0
1,12,13,3,0,3,2,6,2,12,0
1,14,15,1,3,0,3,1,6,15,0
2,2,10,0,3,1,3,1,6,10,0
2,15,12,3,0,2,3,5,3,,1
2,5,7,3,1,3,0,6,1,5,0
2,0,8,3,1,3,0,6,1,0,0
2,9,1,0,3,2,3,2,6,1,0
2,4,6,0,3,1,3,1,6,6,0
2,13,14,3,0,3,0,6,0,13,0
2,3,11,3,1,3,0,6,1,3,0
3,10,5,3,1,3,0,6,1,10,0
3,0,15,3,1,3,1,6,2,0,0
3,12,6,3,0,3,0,6,0,12,0
3,13,1,0,3,0,3,0,6,1,0
3,2,7,3,0,3,0,6,0,2,0
3,3,9,0,3,0,3,0,6,9,0
3,8,4,3,1,2,3,5,4,,1
3,11,14,2,3,3,0,5,3,,1
4,10,0,3,2,1,3,4,5,,1
4,12,2,3,2,2,3,5,5,,1
4,1,5,1,3,3,1,4,4,,1
4,15,9,3,2,0,3,3,5,,1
4,8,6,3,0,1,3,4,3,,1
4,13,7,3,0,3,1,6,1,13,0
4,3,4,1,3,3,0,4,3,,1
4,11,14,3,1,2,3,5,4,,1
