pid,name,skill
0,P000,1.288185
1,P001,1.449446
2,P002,0.066336
3,P003,-0.764544
4,P004,-1.092173
5,P005,0.031335
6,P006,-1.022103
7,P007,-1.436829
8,P008,0.199312
9,P009,0.133375
10,P010,0.546468
11,P011,-0.913971
12,P012,0.005005
13,P013,-0.064742
14,P014,-1.505829
15,P015,0.537997
16,P016,0.320711
17,P017,2.389112
18,P018,0.202969
19,P019,-0.144702
20,P020,1.232757
21,P021,0.198791
22,P022,0.909031
23,P023,-0.365544
24,P024,0.218172
25,P025,1.024289
26,P026,0.696247
27,P027,0.128472
28,P028,-1.082308
29,P029,0.445222
30,P030,0.076863
31,P031,0.720468
