through_round,pid,name,game_wins,game_losses,agents_for,agents_against,agent_diff,agent_ratio,record
1,0,P000,2,0,6,4,2,0.600000,"2-0, 0.600, 2"
1,1,P001,0,2,4,6,-2,0.400000,"0-2, 0.400, -2"
1,2,P002,2,0,6,0,6,1.000000,"2-0, 1.000, 6"
1,3,P003,0,2,0,6,-6,0.000000,"0-2, 0.000, -6"
1,4,P004,0,2,3,6,-3,0.333333,"0-2, 0.333, -3"
1,5,P005,2,0,6,3,3,0.666667,"2-0, 0.667, 3"
1,6,P006,0,2,3,6,-3,0.333333,"0-2, 0.333, -3"
1,7,P007,2,0,6,3,3,0.666667,"2-0, 0.667, 3"
1,8,P008,1,1,4,4,0,0.500000,"1-1, 0.500, 0"
1,9,P009,1,1,4,4,0,0.500000,"1-1, 0.500, 0"
1,10,P010,2,0,6,0,6,1.000000,"2-0, 1.000, 6"
1,11,P011,0,2,0,6,-6,0.000000,"0-2, 0.000, -6"
1,12,P012,2,0,6,2,4,0.750000,"2-0, 0.750, 4"
1,13,P013,0,2,2,6,-4,0.250000,"0-2, 0.250, -4"
1,14,P014,0,2,1,6,-5,0.142857,"0-2, 0.143, -5"
1,15,P015,2,0,6,1,5,0.857143,"2-0, 0.857, 5"
2,0,P000,4,0,12,5,7,0.705882,"4-0, 0.706, 7"
2,1,P001,2,2,10,8,2,0.555556,"2-2, 0.556, 2"
2,2,P002,2,2,7,6,1,0.538462,"2-2, 0.538, 1"
2,3,P003,2,2,6,7,-1,0.461538,"2-2, 0.462, -1"
2,4,P004,0,4,4,12,-8,0.250000,"0-4, 0.250, -8"
2,5,P005,4,0,12,4,8,0.750000,"4-0, 0.750, 8"
2,6,P006,2,2,9,7,2,0.562500,"2-2, 0.562, 2"
2,7,P007,2,2,7,9,-2,0.437500,"2-2, 0.438, -2"
2,8,P008,1,3,5,10,-5,0.333333,"1-3, 0.333, -5"
2,9,P009,1,3,6,10,-4,0.375000,"1-3, 0.375, -4"
2,10,P010,4,0,12,1,11,0.923077,"4-0, 0.923, 11"
2,11,P011,0,4,1,12,-11,0.076923,"0-4, 0.077, -11"
2,12,P012,3,1,9,7,2,0.562500,"3-1, 0.562, 2"
2,13,P013,2,2,8,6,2,0.571429,"2-2, 0.571, 2"
2,14,P014,0,4,1,12,-11,0.076923,"0-4, 0.077, -11"
2,15,P015,3,1,11,4,7,0.733333,"3-1, 0.733, 7"
3,0,P000,6,0,18,7,11,0.720000,"6-0, 0.720, 11"
3,1,P001,4,2,16,8,8,0.666667,"4-2, 0.667, 8"
3,2,P002,4,2,13,6,7,0.684211,"4-2, 0.684, 7"
3,3,P003,2,4,6,13,-7,0.315789,"2-4, 0.316, -7"
3,4,P004,1,5,8,17,-9,0.320000,"1-5, 0.320, -9"
3,5,P005,4,2,13,10,3,0.565217,"4-2, 0.565, 3"
3,6,P006,2,4,9,13,-4,0.409091,"2-4, 0.409, -4"
3,7,P007,2,4,7,15,-8,0.318182,"2-4, 0.318, -8"
3,8,P008,2,4,10,14,-4,0.416667,"2-4, 0.417, -4"
3,9,P009,3,3,12,10,2,0.545455,"3-3, 0.545, 2"
3,10,P010,6,0,18,2,16,0.900000,"6-0, 0.900, 16"
3,11,P011,1,5,6,15,-9,0.285714,"1-5, 0.286, -9"
3,12,P012,5,1,15,7,8,0.681818,"5-1, 0.682, 8"
3,13,P013,2,4,8,12,-4,0.400000,"2-4, 0.400, -4"
3,14,P014,1,5,4,17,-13,0.190476,"1-5, 0.190, -13"
3,15,P015,3,3,13,10,3,0.565217,"3-3, 0.565, 3"
4,0,P000,7,1,23,11,12,0.676471,"7-1, 0.676, 12"
4,1,P001,5,3,20,12,8,0.625000,"5-3, 0.625, 8"
4,2,P002,5,3,18,11,7,0.620690,"5-3, 0.621, 7"
4,3,P003,3,5,10,16,-6,0.384615,"3-5, 0.385, -6"
4,4,P004,2,6,11,21,-10,0.343750,"2-6, 0.344, -10"
4,5,P005,5,3,17,14,3,0.548387,"5-3, 0.548, 3"
4,6,P006,3,5,12,17,-5,0.413793,"3-5, 0.414, -5"
4,7,P007,2,6,8,21,-13,0.275862,"2-6, 0.276, -13"
4,8,P008,3,5,14,17,-3,0.451613,"3-5, 0.452, -3"
4,9,P009,4,4,17,13,4,0.566667,"4-4, 0.567, 4"
4,10,P010,7,1,22,7,15,0.758621,"7-1, 0.759, 15"
4,11,P011,2,6,11,19,-8,0.366667,"2-6, 0.367, -8"
4,12,P012,6,2,20,12,8,0.625000,"6-2, 0.625, 8"
4,13,P013,4,4,14,13,1,0.518519,"4-4, 0.519, 1"
4,14,P014,2,6,8,22,-14,0.266667,"2-6, 0.267, -14"
4,15,P015,4,4,16,15,1,0.516129,"4-4, 0.516, 1"
